timestamp,action,total_ms,draw_ms,extract_ms,fps,level,bytes_read,channels,points,baseline_ms,filter_ms
2026-03-31T12:42:09.408604,lazy,1818.913,391.579,29.265,0.55,1,0,5,4800,0.000,14.675
2026-03-31T12:43:33.895458,lazy,603.622,248.997,0.720,1.66,1,0,5,4800,0.000,20.433
2026-03-31T12:43:39.292117,lazy,222.357,190.946,9.695,4.50,1,0,5,4800,0.000,1.461
2026-03-31T12:43:41.867990,lazy,304.993,266.655,14.651,3.28,1,0,5,4800,0.000,96.962
timestamp,dataset_id,channel,start_s,duration_s,viewport_px,spp_screen,level_k,chunks_read,bytes_read,io_ms,decim_ms,filter_ms,baseline_ms,render_ms,total_ms,cache_hit,fps,cpu_pct,rss_mb,notes,load_edf_ms,prepare_data_ms,extract_channels_ms,convert_uv_ms,prepare_hypno_ms,create_plotter_ms,action,channels,draw_ms,extract_ms,level,points
,,render,0.0,30.0,1400.0,,,,,,,,,137.64430000446737,,0,1.7878258356465806,,,signals=13;eeg:3ch;eog:2ch;emg:3ch;ecg:5ch;n_points=6400,,,,,,,,,,,,
,,render,0.0,30.0,1400.0,,,,,,,,,148.02590000908822,,0,2.54600957561878,,,signals=13;eeg:3ch;eog:2ch;emg:3ch;ecg:5ch;n_points=6400,,,,,,,,,,,,
,unknown,visualization,0.0,30.0,,,,,,,,,,,,0,,,,n_channels=13,,,,,0.007700058631598949,848.90570002608,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,141.51810004841536,,0,3.062852489739062,,,signals=4;eeg:3ch;eog:1ch;emg:0ch;ecg:0ch;n_points=296,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,147.77369995135814,,0,3.066498397824583,,,signals=5;eeg:3ch;eog:2ch;emg:0ch;ecg:0ch;n_points=592,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,152.60089992079884,,0,3.2816314489494296,,,signals=6;eeg:3ch;eog:2ch;emg:1ch;ecg:0ch;n_points=296,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,131.3277999870479,,0,3.4979224384501886,,,signals=13;eeg:3ch;eog:2ch;emg:3ch;ecg:5ch;n_points=4800,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,138.2787999464199,,0,3.6562385695880146,,,signals=13;eeg:3ch;eog:2ch;emg:3ch;ecg:5ch;n_points=4800,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,145.28860000427812,,0,3.7557576353120012,,,signals=7;eeg:3ch;eog:2ch;emg:2ch;ecg:0ch;n_points=592,,,,,,,,,,,,
,,render,0.0,30.0,971.0,,,,,,,,,137.21479999367148,,0,3.865012298462292,,,signals=10;eeg:3ch;eog:2ch;emg:3ch;ecg:2ch;n_points=592,,,,,,,,,,,,
